date,wage_growth_yoy,private_wage_growth_yoy,public_wage_growth_yoy,wage_growth_qoq,private_wage_qoq,public_wage_qoq,unit_labour_costs,avg_earnings_growth,productivity_growth,productivity_index
1997-03-31,,,,,,,1.4,3.6,2.2,73.6
1997-06-30,,,,,,,1.0,5.5,4.4,75.8
1997-09-30,,,,,,,1.8,6.1,4.5,75.9
1997-12-31,,,,0.9,0.9,0.8,-1.2,3.4,4.7,76.2
1998-03-31,,,,0.9,0.9,0.8,0.0,4.0,4.2,76.7
1998-06-30,,,,0.7,0.7,0.8,0.8,1.8,1.3,76.8
1998-09-30,3.3,3.1,3.5,0.7,0.6,1.2,0.0,3.0,2.9,78.1
1998-12-31,3.1,2.9,3.5,0.7,0.7,0.7,1.6,5.2,3.7,79.0
1999-03-31,3.1,2.8,4.1,0.9,0.7,1.3,0.4,3.8,3.4,79.3
1999-06-30,3.1,2.9,3.9,0.7,0.9,0.6,1.0,4.7,3.5,79.5
1999-09-30,3.1,2.9,3.4,0.7,0.6,0.7,1.8,3.5,2.0,79.7
1999-12-31,3.0,2.9,3.4,0.7,0.7,0.7,0.6,1.6,1.1,79.9
2000-03-31,2.7,2.8,2.5,0.6,0.7,0.4,4.0,4.5,0.8,79.9
2000-06-30,3.0,2.8,2.8,1.0,0.8,0.9,1.8,2.5,0.5,79.9
2000-09-30,3.1,3.2,2.9,0.8,1.0,0.8,2.7,2.5,-0.4,79.4
2000-12-31,3.4,3.5,3.0,1.0,0.9,0.8,5.8,6.7,0.8,80.5
2001-03-31,3.8,3.6,3.7,0.9,0.8,1.1,3.8,6.3,2.1,81.6
2001-06-30,3.7,3.7,4.0,0.9,0.9,1.1,5.2,7.6,2.4,81.8
2001-09-30,3.6,3.5,3.8,0.7,0.8,0.7,2.8,7.1,4.2,82.7
2001-12-31,3.4,3.4,3.6,0.8,0.8,0.7,0.6,4.5,3.6,83.4
2002-03-31,3.2,3.2,3.3,0.8,0.7,0.8,1.1,4.1,2.8,83.9
2002-06-30,3.1,3.2,3.1,0.8,0.9,0.9,0.4,4.9,4.5,85.5
2002-09-30,3.3,3.3,3.2,0.9,0.9,0.8,1.5,5.2,3.4,85.5
2002-12-31,3.4,3.4,3.5,0.9,0.9,0.9,1.8,3.8,2.2,85.2
2003-03-31,3.6,3.5,4.1,1.0,0.8,1.4,1.8,3.6,1.8,85.4
2003-06-30,3.6,3.3,4.2,0.8,0.7,1.0,3.6,3.5,-0.2,85.3
2003-09-30,3.6,3.3,4.7,0.9,0.9,1.3,2.0,2.8,0.8,86.2
2003-12-31,3.7,3.4,4.8,1.0,1.0,1.0,3.4,5.5,2.0,86.9
2004-03-31,3.5,3.4,4.2,0.9,0.7,0.9,3.0,5.5,2.2,87.3
2004-06-30,3.6,3.5,4.0,0.8,0.8,0.9,2.3,5.1,2.7,87.6
2004-09-30,3.6,3.3,3.9,0.8,0.7,1.1,4.8,7.0,2.3,88.2
2004-12-31,3.7,3.4,4.1,1.1,1.1,1.2,3.6,4.4,0.7,87.5
2005-03-31,3.9,3.7,4.5,1.1,1.1,1.3,4.2,3.3,-0.7,86.7
2005-06-30,4.1,3.8,4.7,1.1,0.9,1.1,4.1,2.2,-1.6,86.2
2005-09-30,4.2,4.0,4.7,0.9,0.9,1.0,3.9,2.1,-1.6,86.8
2005-12-31,4.0,4.0,4.4,0.9,1.0,0.9,3.4,3.4,0.2,87.7
2006-03-31,4.1,4.0,4.2,1.1,1.0,1.1,4.2,4.9,0.9,87.5
2006-06-30,4.0,4.0,4.3,1.0,1.0,1.1,4.1,5.3,0.9,87.0
2006-09-30,4.0,3.9,4.2,0.9,0.8,1.0,2.8,3.9,0.9,87.6
2006-12-31,4.2,4.0,4.6,1.1,1.1,1.2,4.9,5.1,0.2,87.9
2007-03-31,4.0,3.9,4.3,1.0,1.0,0.9,3.5,5.2,1.6,88.9
2007-06-30,4.1,3.9,4.2,1.1,1.0,1.1,4.9,6.7,1.8,88.6
2007-09-30,4.3,4.2,4.3,1.1,1.1,1.1,5.5,7.0,1.7,89.1
2007-12-31,4.0,4.0,4.0,0.8,1.0,1.0,4.5,5.1,0.7,88.5
2008-03-31,4.1,4.1,4.0,1.0,1.0,0.8,4.9,4.5,-0.4,88.5
2008-06-30,4.2,4.4,3.8,1.1,1.2,0.9,5.3,4.0,-1.1,87.6
2008-09-30,4.2,4.3,3.7,1.1,1.0,0.9,4.8,3.2,-1.6,87.7
2008-12-31,4.3,4.3,4.2,0.9,0.9,1.4,4.1,3.2,-0.8,87.8
2009-03-31,4.1,4.0,4.4,0.9,0.8,1.0,1.5,2.1,0.6,89.0
2009-06-30,3.8,3.5,4.4,0.8,0.7,1.0,-1.9,1.4,3.3,90.5
2009-09-30,3.0,2.8,4.6,0.4,0.4,1.1,-0.1,3.2,3.3,90.6
2009-12-31,2.9,2.6,4.1,0.8,0.7,1.0,-0.6,2.7,3.1,90.5
2010-03-31,3.0,2.6,4.3,1.0,0.8,1.2,1.9,4.0,2.0,90.8
2010-06-30,3.0,2.8,4.0,0.8,0.9,0.8,5.6,5.3,-0.3,90.2
2010-09-30,3.6,3.5,4.0,1.1,1.2,1.0,5.4,5.5,0.0,90.6
2010-12-31,3.9,3.8,4.0,1.0,1.0,0.9,6.7,6.2,-0.3,90.2
2011-03-31,3.9,4.0,3.6,0.9,0.9,0.8,7.8,6.5,-1.4,89.5
2011-06-30,3.8,3.8,3.7,0.7,0.7,0.8,6.0,6.8,0.7,90.8
2011-09-30,3.6,3.7,3.3,0.8,1.0,0.6,3.9,5.4,1.3,91.8
2011-12-31,3.6,3.8,3.2,1.0,1.0,0.8,2.0,4.5,2.3,92.3
2012-03-31,3.6,3.7,3.1,1.0,0.9,0.8,1.5,5.0,3.7,92.8
2012-06-30,3.8,3.9,3.3,0.9,0.9,1.0,0.4,3.3,3.1,93.6
2012-09-30,3.8,3.7,3.4,0.8,0.8,0.8,-0.7,2.2,2.9,94.5
2012-12-31,3.4,3.4,3.3,0.7,0.8,0.7,0.5,2.8,2.4,94.5
2013-03-31,3.1,3.2,3.1,0.7,0.7,0.6,-0.7,1.6,2.3,94.9
2013-06-30,2.8,3.0,2.8,0.6,0.7,0.7,0.5,1.4,1.0,94.5
2013-09-30,2.6,2.8,2.6,0.6,0.6,0.6,1.6,2.3,0.7,95.2
2013-12-31,2.6,2.5,2.7,0.7,0.5,0.8,1.2,3.3,2.0,96.4
2014-03-31,2.7,2.6,2.9,0.8,0.8,0.8,0.9,3.7,2.8,97.6
2014-06-30,2.6,2.4,2.8,0.5,0.5,0.6,0.6,3.7,3.1,97.4
2014-09-30,2.6,2.4,2.7,0.6,0.6,0.5,0.3,2.6,2.4,97.5
2014-12-31,2.5,2.5,2.7,0.6,0.6,0.7,0.5,2.1,1.6,97.9
2015-03-31,2.3,2.2,2.5,0.6,0.5,0.7,0.3,0.3,0.1,97.7
2015-06-30,2.3,2.2,2.5,0.5,0.5,0.6,0.8,1.0,0.1,97.5
2015-09-30,2.3,2.1,2.7,0.6,0.5,0.7,0.8,1.5,0.6,98.1
2015-12-31,2.2,2.0,2.6,0.5,0.5,0.6,0.4,0.8,0.5,98.4
2016-03-31,2.1,2.0,2.5,0.5,0.5,0.6,1.0,2.4,1.3,99.0
2016-06-30,2.1,2.0,2.4,0.5,0.5,0.5,-0.6,1.6,2.2,99.6
2016-09-30,1.9,1.9,2.3,0.4,0.4,0.6,0.3,1.6,1.2,99.3
2016-12-31,1.9,1.8,2.3,0.5,0.4,0.6,-0.9,0.8,1.5,99.9
2017-03-31,1.9,1.8,2.3,0.6,0.5,0.6,-0.4,-0.2,0.0,99.0
2017-06-30,1.9,1.8,2.5,0.5,0.5,0.6,0.8,0.1,-0.6,99.0
