date,labour_force,participation_rate,part_time_employment,full_time_employment,employment,employment_growth_yoy,employment_trend_growth,employment_to_population,unemployment,unemployment_rate,unemployment_rate_trend,hours_worked,hours_worked_trend,hours_worked_trend_growth,average_hours_worked,job_vacancies,private_job_vacancies,vacancies_to_lf_ratio
1997-01-31,9116.6,63.4,2090.9,6244.7,8335.7,0.6,0.4,58.0,780.9,8.6,8.6,1236446.1,1235526.6,0.2,34.1,,,
1997-02-28,9129.5,63.4,2096.2,6238.9,8335.0,0.5,0.4,57.9,794.5,8.7,8.6,1239665.5,1237077.8,0.3,34.1,81.3,71.8,0.9
1997-03-31,9121.8,63.2,2103.2,6234.8,8338.0,0.9,0.4,57.8,783.8,8.6,8.6,1239612.0,1238074.9,0.4,34.2,,,
1997-04-30,9111.6,63.1,2104.4,6226.5,8330.9,0.4,0.4,57.7,780.7,8.6,8.6,1239139.8,1238294.9,0.4,34.2,,,
1997-05-31,9114.0,63.1,2099.4,6235.6,8335.0,0.4,0.4,57.7,779.0,8.5,8.6,1236099.1,1237805.7,0.5,34.2,82.8,72.8,0.9
1997-06-30,9093.8,62.9,2115.4,6220.9,8336.2,0.4,0.4,57.7,757.6,8.3,8.5,1239641.9,1237105.7,0.4,34.1,,,
1997-07-31,9131.5,63.1,2106.1,6241.0,8347.1,0.5,0.5,57.7,784.4,8.6,8.4,1234953.0,1237166.3,0.5,34.1,,,
1997-08-31,9104.4,62.9,2111.1,6222.6,8333.7,0.4,0.7,57.5,770.7,8.5,8.3,1234825.5,1238583.0,0.6,34.1,84.9,74.0,0.9
1997-09-30,9132.8,63.0,2129.6,6266.3,8395.9,1.2,0.9,57.9,736.8,8.1,8.2,1242202.6,1241199.5,0.8,34.1,,,
1997-10-31,9121.7,62.9,2132.2,6256.8,8389.0,1.1,1.1,57.8,732.8,8.0,8.1,1242536.5,1244308.5,1.0,34.1,,,
1997-11-30,9180.6,63.2,2158.4,6288.8,8447.3,1.8,1.3,58.2,733.3,8.0,8.0,1249120.7,1247190.9,1.2,34.1,90.4,79.7,1.0
1997-12-31,9157.2,63.0,2162.0,6270.8,8432.8,1.3,1.4,58.0,724.4,7.9,7.9,1252115.4,1249284.3,1.2,34.1,,,
1998-01-31,9160.7,62.9,2147.0,6293.1,8440.1,1.3,1.4,58.0,720.5,7.9,7.9,1250874.5,1250491.7,1.2,34.1,,,
1998-02-28,9165.8,62.9,2164.0,6289.4,8453.4,1.4,1.5,58.0,712.4,7.8,7.8,1248366.6,1251063.3,1.1,34.0,98.3,88.8,1.1
1998-03-31,9180.0,62.9,2161.0,6295.2,8456.2,1.4,1.6,57.9,723.7,7.9,7.8,1248538.3,1251503.0,1.1,34.0,,,
1998-04-30,9187.2,62.9,2175.5,6313.1,8488.6,1.9,1.7,58.1,698.6,7.6,7.8,1252587.6,1251909.2,1.1,34.0,,,
1998-05-31,9201.3,62.9,2205.6,6281.2,8486.8,1.8,1.9,58.0,714.5,7.8,7.8,1249134.1,1252261.4,1.2,33.9,104.0,94.3,1.1
1998-06-30,9229.6,63.1,2202.8,6303.9,8506.7,2.0,2.1,58.1,722.9,7.8,7.8,1255201.3,1252713.4,1.3,33.9,,,
1998-07-31,9257.3,63.2,2189.1,6329.9,8519.0,2.1,2.2,58.2,738.3,8.0,7.7,1253404.0,1253361.1,1.3,33.8,,,
1998-08-31,9248.5,63.1,2194.5,6336.7,8531.3,2.4,2.2,58.2,717.3,7.8,7.7,1249819.1,1254176.7,1.3,33.8,89.8,79.1,1.0
1998-09-30,9283.8,63.2,2218.0,6357.0,8575.0,2.1,2.1,58.4,708.7,7.6,7.6,1252498.4,1255121.4,1.1,33.7,,,
1998-10-31,9263.0,63.0,2233.7,6351.8,8585.5,2.3,2.0,58.4,677.5,7.3,7.5,1259738.4,1256345.8,1.0,33.7,,,
1998-11-30,9271.8,63.0,2235.7,6329.0,8564.7,1.4,1.9,58.2,707.1,7.6,7.4,1260265.9,1258050.9,0.9,33.7,102.0,90.6,1.1
1998-12-31,9250.7,62.8,2238.5,6347.7,8586.2,1.8,1.8,58.3,664.6,7.2,7.3,1260937.3,1260161.1,0.9,33.8,,,
1999-01-31,9244.2,62.7,2222.0,6364.1,8586.1,1.7,1.7,58.2,658.1,7.1,7.2,1257316.8,1262549.1,1.0,33.8,,,
