sa4_code,sa4_name,date,unemployed
101,Capital Region,2012-01-01,4.6
101,Capital Region,2012-02-01,4.4
101,Capital Region,2012-03-01,4.1
101,Capital Region,2012-04-01,4.1
101,Capital Region,2012-05-01,4.5
101,Capital Region,2012-06-01,4.8
101,Capital Region,2012-07-01,4.6
101,Capital Region,2012-08-01,4.0
101,Capital Region,2012-09-01,5.3
101,Capital Region,2012-10-01,4.7
101,Capital Region,2012-11-01,4.3
101,Capital Region,2012-12-01,4.7
101,Capital Region,2013-01-01,5.0
101,Capital Region,2013-02-01,4.7
101,Capital Region,2013-03-01,5.6
101,Capital Region,2013-04-01,4.8
101,Capital Region,2013-05-01,5.0
101,Capital Region,2013-06-01,4.9
101,Capital Region,2013-07-01,4.7
101,Capital Region,2013-08-01,4.6
101,Capital Region,2013-09-01,4.8
101,Capital Region,2013-10-01,5.1
101,Capital Region,2013-11-01,4.9
101,Capital Region,2013-12-01,4.9
101,Capital Region,2014-01-01,6.1
101,Capital Region,2014-02-01,6.0
101,Capital Region,2014-03-01,5.4
101,Capital Region,2014-04-01,5.3
101,Capital Region,2014-05-01,5.7
101,Capital Region,2014-06-01,5.6
101,Capital Region,2014-07-01,4.9
101,Capital Region,2014-08-01,5.6
101,Capital Region,2014-09-01,5.7
101,Capital Region,2014-10-01,6.0
101,Capital Region,2014-11-01,5.8
101,Capital Region,2014-12-01,4.8
101,Capital Region,2015-01-01,6.9
101,Capital Region,2015-02-01,6.9
101,Capital Region,2015-03-01,6.4
101,Capital Region,2015-04-01,6.2
101,Capital Region,2015-05-01,5.7
101,Capital Region,2015-06-01,5.4
101,Capital Region,2015-07-01,5.3
101,Capital Region,2015-08-01,6.0
101,Capital Region,2015-09-01,5.7
101,Capital Region,2015-10-01,5.2
101,Capital Region,2015-11-01,5.1
101,Capital Region,2015-12-01,4.5
101,Capital Region,2016-01-01,5.8
101,Capital Region,2016-02-01,5.1
101,Capital Region,2016-03-01,5.5
101,Capital Region,2016-04-01,4.8
101,Capital Region,2016-05-01,4.7
101,Capital Region,2016-06-01,4.9
101,Capital Region,2016-07-01,4.5
101,Capital Region,2016-08-01,4.6
101,Capital Region,2016-09-01,4.2
101,Capital Region,2016-10-01,4.5
101,Capital Region,2016-11-01,4.3
101,Capital Region,2016-12-01,4.4
101,Capital Region,2017-01-01,5.0
101,Capital Region,2017-02-01,5.3
101,Capital Region,2017-03-01,4.6
101,Capital Region,2017-04-01,4.2
101,Capital Region,2017-05-01,4.3
101,Capital Region,2017-06-01,4.2
101,Capital Region,2017-07-01,5.0
101,Capital Region,2017-08-01,4.3
101,Capital Region,2017-09-01,4.4
101,Capital Region,2017-10-01,4.3
101,Capital Region,2017-11-01,4.7
101,Capital Region,2017-12-01,4.5
101,Capital Region,2018-01-01,5.6
101,Capital Region,2018-02-01,5.2
101,Capital Region,2018-03-01,5.3
101,Capital Region,2018-04-01,4.9
101,Capital Region,2018-05-01,5.1
101,Capital Region,2018-06-01,4.7
101,Capital Region,2018-07-01,5.0
101,Capital Region,2018-08-01,5.0
101,Capital Region,2018-09-01,4.6
101,Capital Region,2018-10-01,4.6
101,Capital Region,2018-11-01,4.2
101,Capital Region,2018-12-01,4.5
101,Capital Region,2019-01-01,4.1
101,Capital Region,2019-02-01,4.4
101,Capital Region,2019-03-01,4.4
101,Capital Region,2019-04-01,4.4
101,Capital Region,2019-05-01,4.4
101,Capital Region,2019-06-01,4.1
101,Capital Region,2019-07-01,4.5
101,Capital Region,2019-08-01,4.4
101,Capital Region,2019-09-01,4.5
101,Capital Region,2019-10-01,4.3
101,Capital Region,2019-11-01,4.3
101,Capital Region,2019-12-01,4.1
101,Capital Region,2020-01-01,4.6
101,Capital Region,2020-02-01,5.0
101,Capital Region,2020-03-01,4.9
101,Capital Region,2020-04-01,5.5
101,Capital Region,2020-05-01,5.6
101,Capital Region,2020-06-01,6.1
101,Capital Region,2020-07-01,6.0
